"","maximum_MinuslogP_any","sum_MinuslogP_any","times_significant_any"
"100",2.19981721509257,222.120629538099,0.130966952264382
"150",1.79501743048329,186.967491136223,0.0367197062423501
"200",0.900833241493638,155.13773107759,0.00611995104039168
"250",0.927092199990058,160.44407223882,0.0636474908200734
"300",1.09632840989136,140.643127239608,0.0526315789473684
"350",1.06628599853308,106.952114531698,0.0159118727050184
"400",1.67431441935011,120.002873473707,0.011015911872705
"450",1.16010282478964,96.0034172750127,0.00489596083231334
"500",0.819627796165762,146.449452520611,0.0611995104039168
"550",1.2578890997567,152.501312324152,0.018359853121175
"600",1.43201841884529,133.872807013733,0.0171358629130967
"650",1.53014894403326,123.145882546277,0.0171358629130967
"700",1.65173657035267,119.114290184625,0.01468788249694
"750",1.89974002137509,104.844662411578,0.01468788249694
"800",2.73824743974309,117.319842624127,0.0134638922888617
"850",2.21261200739272,92.4751858327149,0.00979192166462668
"900",1.87000410234385,72.8215336826555,0.011015911872705
"950",1.99176304512073,54.9672224530473,0.0122399020807834
"1000",1.63886131037711,43.4297656315449,0.011015911872705
"1050",1.80653949495233,35.2422463567261,0.011015911872705
"1100",1.43676191728448,40.127842071784,0.00979192166462668
"1150",1.16608736296755,32.1129441256703,0.00734394124847001
"1200",1.28809695079915,18.1115722376947,0.00979192166462668
"1250",1.50055914564326,15.5196142729419,0.00979192166462668
"1300",1.5736541120869,14.5441314378866,0.00856793145654835
"1350",2.32104093587291,20.0798937580128,0.00856793145654835
"1400",3.07124015502273,24.5180962373805,0.00856793145654835
"1450",2.85458959085289,29.5417756829666,0.00979192166462668
"1500",3.12843193825258,27.5990614264276,0.00979192166462668
