"","maximum_MinuslogP_down","sum_MinuslogP_down","times_significant_down"
"100",0.651684551231881,72.1839758335192,0
"150",1.83331998953068,70.4943234112885,0.00611995104039168
"200",1.2274480774706,68.0516241121791,0.00734394124847001
"250",1.83652406413949,55.5481150042235,0.00611995104039168
"300",2.53137254024438,53.3201056346868,0.00244798041615667
"350",3.27795417484243,47.0620257583195,0.00367197062423501
"400",2.82309755356736,38.0859297870614,0.00244798041615667
"450",2.47670769102026,30.9944136895376,0.00244798041615667
"500",2.136359652131,24.0975806691703,0.00244798041615667
"550",2.87807109310447,25.2524118462845,0.00244798041615667
"600",3.598376364164,19.9850270972357,0.00244798041615667
"650",4.47227346790818,16.280239229515,0.00367197062423501
"700",4.19134302643874,29.4990334538398,0.00367197062423501
"750",4.91041931284589,39.9649896766771,0.00489596083231334
"800",4.57026080731638,41.5126978797211,0.00489596083231334
"850",4.33635259936101,39.5992858914927,0.00489596083231334
"900",4.08008734967403,33.6890098278144,0.00489596083231334
"950",3.77920318401053,33.3050709353206,0.00489596083231334
"1000",3.56206305730497,30.4402065821144,0.00489596083231334
"1050",3.39471791016073,27.0259924922163,0.00489596083231334
"1100",3.18530877268467,27.9687184507819,0.00489596083231334
"1150",3.0265818695801,28.3631297213423,0.00489596083231334
"1200",2.76767897397339,21.7955723198382,0.00367197062423501
"1250",3.50002521556344,21.6649918842876,0.00489596083231334
"1300",3.36485564668261,19.8259836832035,0.00489596083231334
"1350",3.16586431242051,16.49985586297,0.00611995104039168
"1400",2.96972791173348,18.4518951313408,0.00489596083231334
"1450",2.79990963294667,22.9861074001478,0.00489596083231334
"1500",2.60161736474807,21.7877606818492,0.00367197062423501
