"","TopCut","minimum_log2fc_down","minimum_MinuslogP_down","minimum_Pi_down","minimum_log2fc_up","minimum_MinuslogP_up","minimum_Pi_up","minimum_log2fc_combined","minimum_MinuslogP_combined","minimum_Pi_combined"
"100",100,0.549,2.86012091359876,4.3107563776384,0.584,3.33161408331,4.17862157558425,0.549,2.86012091359876,0.549
"150",150,0.393,2.86012091359876,3.63279954947721,0.365,2.94309514866353,3.13001054932791,0.393,2.86012091359876,0.393
"200",200,0.393,2.86012091359876,3.14303055128987,0.35,2.94309514866353,2.61016680264582,0.393,2.61016680264582,0.393
"250",250,0.393,2.81247927916354,2.77310456925525,0.35,1.84163750790475,2.23025121803424,0.393,2.23025121803424,0.393
"300",300,0.354,2.81247927916354,2.45573736181358,0.35,1.84163750790475,1.9990966939951,0.354,1.9990966939951,0.354
"350",350,0.307,2.37468754903833,2.1636341026943,0.312,1.76700388960785,1.7841884772278,0.307,1.7841884772278,0.307
"400",400,0.307,2.37468754903833,1.94773308811883,0.299,1.76700388960785,1.60263201188097,0.307,1.60263201188097,0.307
"450",450,0.292,2.27818938478745,1.77710853910805,0.275,1.74714696902011,1.42624248320265,0.292,1.42624248320265,0.292
"500",500,0.292,2.27818938478745,1.6628967377123,0.275,1.70996538863748,1.29887743804881,0.292,1.29887743804881,0.292
"550",550,0.279,2.07675598136972,1.55786163796487,0.275,1.62342304294349,1.18529464100128,0.279,1.18529464100128,0.279
"600",600,0.279,2.07675598136972,1.45480690265281,0.25,1.60380065290426,1.09173795486958,0.279,1.09173795486958,0.279
"650",650,0.279,2.07675598136972,1.3598992606393,0.25,1.49214412830417,1.0003613119421,0.279,1.0003613119421,0.279
"700",700,0.279,2.07675598136972,1.27368931452949,0.25,1.39794000867204,0.920135759593574,0.279,0.920135759593574,0.279
"750",750,0.274,2.07675598136972,1.1989347974004,0.242,1.30980391997149,0.868025863920968,0.274,0.868025863920968,0.274
"800",800,0.274,2.06752623532285,1.12951654882718,0.242,1.30980391997149,0.79870106559748,0.274,0.79870106559748,0.274
"850",850,0.274,1.48280410205003,1.07330028647123,0.233,1.1605219526258,0.742098216783047,0.274,0.742098216783047,0.274
"900",900,0.274,1.41341269532825,1.00308739224236,0.232,1.1605219526258,0.689650817804699,0.274,0.689650817804699,0.274
"950",950,0.274,1.41341269532825,0.947166741254061,0.23,1.1605219526258,0.63787925086964,0.274,0.63787925086964,0.274
"1000",1000,0.274,1.41341269532825,0.879210652216027,0.23,1.1605219526258,0.600035305083668,0.274,0.600035305083668,0.274
"1050",1050,0.274,1.41341269532825,0.820969924734312,0.23,1.1007268126824,0.543901200688368,0.274,0.543901200688368,0.274
"1100",1100,0.274,1.41341269532825,0.773130861383249,0.23,1.1007268126824,0.500787370491529,0.274,0.500787370491529,0.274
"1150",1150,0.274,1.41341269532825,0.72333817940429,0.23,1,0.455795172159028,0.274,0.455795172159028,0.274
"1200",1200,0.274,1.08724669632868,0.677354691812766,0.23,1,0.421807348038495,0.274,0.421807348038495,0.274
"1250",1250,0.274,1.05012229596313,0.615650829591933,0.229,0.903089986991944,0.388520048523108,0.274,0.388520048523108,0.274
"1300",1300,0.274,1.00436480540245,0.559196598317744,0.229,0.903089986991944,0.353979133261906,0.274,0.353979133261906,0.274
"1350",1350,0.274,0.97061622231479,0.487633805508371,0.229,0.728158393463501,0.317240725182653,0.274,0.317240725182653,0.274
"1400",1400,0.274,0.882728704344236,0.437057097466542,0.229,0.721246399047171,0.269742584752374,0.274,0.269742584752374,0.274
"1450",1450,0.274,0.749579997691106,0.365851043463368,0.229,0.621602099051862,0.22471758427247,0.274,0.22471758427247,0.274
"1500",1500,0.274,0.380906669373257,0.127603734240041,0.229,0.341988603342888,0.0854971508357219,0.274,0.0854971508357219,0.127603734240041
