,maximum_MinuslogP_down,sum_MinuslogP_down,times_significant_down
100,0.24945143624576263,3.991498674172844,0.0
150,2.1646487602052993,17.823946013965454,0.006119951040391677
200,1.5636751066611787,22.81973329454391,0.0073439412484700125
250,2.3100206337634144,24.835884566988327,0.006119951040391677
300,3.0752751816136454,21.284503729752508,0.0024479804161566705
350,3.861086341922448,19.52940125114859,0.0036719706242350062
400,3.418780248757067,24.20868866676111,0.0036719706242350062
450,3.0319667000336805,30.095897795056644,0.0036719706242350062
500,2.6888792333324503,22.790128257824176,0.0024479804161566705
550,3.5405768917019773,28.471335130921695,0.0024479804161566705
600,4.311219079751166,29.81477444662927,0.0036719706242350062
650,5.217219868644756,20.826080186048443,0.0036719706242350062
700,4.827459727751018,42.469071478965105,0.0036719706242350062
750,5.701965662039173,56.40972353494594,0.006119951040391677
800,5.383171782405005,60.62966055472999,0.004895960832313341
850,5.085082602870757,44.05019374128579,0.004895960832313341
900,4.805326452450842,46.54713850117631,0.004895960832313341
950,4.54191865769954,59.9694739704409,0.004895960832313341
1000,4.2931816864818595,50.59225319579794,0.004895960832313341
1050,4.057684883090078,35.78912255844507,0.004895960832313341
1100,3.834198296103427,40.703965989610644,0.004895960832313341
1150,3.621656820102532,47.76689400194343,0.004895960832313341
1200,3.4191320044654097,52.096577838169814,0.004895960832313341
1250,4.242096860494273,47.431067869393,0.004895960832313341
1300,4.038386297860949,37.33386023765358,0.004895960832313341
1350,3.8431735063948076,51.69139907088802,0.0073439412484700125
1400,3.6558439816649764,54.64787489214153,0.006119951040391677
1450,3.475848222683399,62.10706085210714,0.006119951040391677
1500,3.3060919039179835,73.6469204545761,0.008567931456548347
